,ch1,ch2a,ch2b,ch3a,ch3b
0,0,17.790842,0,0,0
1,5.35391,0,0,0,0
2,5.35391,0,0,0,0
3,5.35391,0,0,0,0
4,5.35391,0,0,0,0
5,5.35391,0,0,0,0
6,5.35391,0,0,0,0
7,5.35391,0,0,0,0
8,5.35391,0,0,0,0
9,5.35391,0,0,0,0
10,5.35391,0,0,0,0
11,5.35391,0,0,0,0
12,5.35391,0,0,0,0
13,5.897715,18.83886,0,0,0
14,5.35391,0,0,0,0
15,5.35391,0,0,0,0
16,0,17.790842,0,0,0
17,5.897715,18.83886,0,0,0
18,0,17.790842,0,0,0
19,0,17.790842,0,0,0
20,0,17.790842,0,0,0
21,0,17.790842,0,0,0
22,5.897715,18.83886,0,0,0
23,5.35391,0,0,0,0
