,Total_demand,Required_flow,Ret_temp,Elect_cons,COP,Cooling_load,Tout_cond,Heat_rejected
0,293.07688145,218.3903135,0,0,0,0,0,0
1,230.02561728,218.3903135,0,0,0,0,0,0
2,221.63225309,218.3903135,0,0,0,0,0,0
3,217.63595679,218.3903135,0,0,0,0,0,0
4,293.86388889,218.3903135,0,0,0,0,0,0
5,217.162166467,218.3903135,0,0,0,0,0,0
6,119.025179213,218.3903135,0,0,0,0,0,0
7,222.32345679,218.3903135,0,0,0,0,0,0
8,1174.1712963,410.22658895,0,0,0,0,0,0
9,846.5781022,218.3903135,0,0,0,0,0,0
10,1182.5218978,410.22658895,0,0,0,0,0,0
11,2387.3,1038.8434914,0,0,0,0,0,0
12,2347.3,1038.8434914,0,0,0,0,0,0
13,2467.3,1038.8434914,0,0,0,0,0,0
14,2337.3,1038.8434914,0,0,0,0,0,0
15,1928.2,820.4531779,0,0,0,0,0,0
16,2307.3,1038.8434914,0,0,0,0,0,0
17,2327.3,1038.8434914,0,0,0,0,0,0
18,1898.2,628.61690245,0,0,0,0,0,0
19,2237.3,820.4531779,0,0,0,0,0,0
20,2287.3,820.4531779,0,0,0,0,0,0
21,1827.3,820.4531779,0,0,0,0,0,0
22,1204.401550388,628.61690245,0,0,0,0,0,0
23,772.8984496100001,410.22658895,0,0,0,0,0,0
