,evap_flow,T_evap_in,cond_flow
0,220.3903135,281.3023484839568,0
1,220.3903135,281.05443732727196,0
2,220.3903135,281.0214354731107,0
3,220.3903135,281.0057224425913,0
4,220.3903135,281.3054429171508,0
5,220.3903135,281.0038595472387,0
6,220.3903135,280.6179948965616,0
7,220.3903135,281.02415321574483,0
8,412.22658895,282.60778165564386,1
9,220.3903135,283.4786589777899,0
10,412.22658895,282.6252611794961,1
11,1040.8434914,282.123297291183,2
12,1040.8434914,282.0902340433099,2
13,1040.8434914,282.18942378692907,2
14,1040.8434914,282.0819682313417,2
15,822.4531779,282.16805929141094,1
16,1040.8434914,282.0571707954369,2
17,1040.8434914,282.07370241937343,2
18,630.61690245,282.74293458000085,2
19,822.4531779,282.4915641804137,1
20,822.4531779,282.5438943145131,1
21,822.4531779,282.06245708079825,1
22,630.61690245,281.7952083174627,2
23,412.22658895,281.7678351805337,1
